uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
ban_schim,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.ban_schim,collectie:parameter,Ban_Schim,Banale Schimmels en gisten,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
b,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.b,collectie:parameter,B,Boor,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
be,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.be,collectie:parameter,Be,Beryllium,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
begrazing,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.begrazing,collectie:parameter,begrazing,Begrazing,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
benfluralin,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.benfluralin,collectie:parameter,Benfluralin,Benfluralin,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
bentaz,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.bentaz,collectie:parameter,Bentaz,Bentazon,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
benthiavalicarb_isopropyl,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.benthiavalicarb_isopropyl,collectie:parameter,Benthiavalicarb_isopropyl,Benthiavalicarb-isopropyl,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
benzoaantraceen,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.benzoaantraceen,collectie:parameter,benzoaantraceen,benzo(a)antraceen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
benzoa,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.benzoa,collectie:parameter,Benzoa,Benzo(a)antraceen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
benzoap,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.benzoap,collectie:parameter,Benzoap,Benzo(a)pyreen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
benzoapyreen,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.benzoapyreen,collectie:parameter,benzoapyreen,benzo(a)pyreen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
benzob,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.benzob,collectie:parameter,Benzob,Benzo(b)Fluoranteen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
benzobfluoranteen,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.benzobfluoranteen,collectie:parameter,benzobfluoranteen,benzo(b)fluoranteen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
benzoghi,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.benzoghi,collectie:parameter,Benzoghi,Benzo(ghi)peryleen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
benzoghiperyleen,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.benzoghiperyleen,collectie:parameter,benzoghiperyleen,benzo(ghi)peryleen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
benzok,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.benzok,collectie:parameter,Benzok,Benzo(k)Fluoranteen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
benzokfluoranteen,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.benzokfluoranteen,collectie:parameter,benzokfluoranteen,benzo(k)fluoranteen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
bepaling_kleihoudendheid,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.bepaling_kleihoudendheid,collectie:parameter,Bepaling_kleihoudendheid,Bepaling kleihoudendheid,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
bewaard_bodemmonster_opslaglocatie,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.bewaard_bodemmonster_opslaglocatie,collectie:parameter,bewaard_bodemmonster_opslaglocatie,Bewaard bodemmonster opslaglocatie,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
bewaard_bodemmonster_type_bewaring_vooraf,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.bewaard_bodemmonster_type_bewaring_vooraf,collectie:parameter,bewaard_bodemmonster_type_bewaring_vooraf,Bewaard bodemmonster type bewaring vooraf monstervoorbereiding,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
bewaard_bodemmonster_voorbereiding_type_breken,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.bewaard_bodemmonster_voorbereiding_type_breken,collectie:parameter,bewaard_bodemmonster_voorbereiding_type_breken,Bewaard bodemmonster voorbereiding type breken,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
bewaard_bodemmonster_voorbereiding_type_droging,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.bewaard_bodemmonster_voorbereiding_type_droging,collectie:parameter,bewaard_bodemmonster_voorbereiding_type_droging,Bewaard bodemmonster voorbereiding type droging,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
bewaard_bodemmonster_voorbereiding_type_malen,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.bewaard_bodemmonster_voorbereiding_type_malen,collectie:parameter,bewaard_bodemmonster_voorbereiding_type_malen,Bewaard bodemmonster voorbereiding type malen,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
bewaard_bodemmonster_voorbereiding_type_zeven,be.vlaanderen.bodemenondergrond.data.id.concept.parameter.bewaard_bodemmonster_voorbereiding_type_zeven,collectie:parameter,bewaard_bodemmonster_voorbereiding_type_zeven,Bewaard bodemmonster voorbereiding type zeven,,,,,,,,,,,,,conceptscheme:parameter,,,,,,,conceptscheme:parameter
